import time: self [us] | cumulative | imported package
import time:        39 |         39 |                                         torchcomms
import time:        12 |         50 |                                       torchcomms._comms
import time:        31 |         31 |                                         torchcomms
import time:         7 |         38 |                                       torchcomms._backend_wrapper
import time:      1233 |       3924 |                                     torch.distributed.distributed_c10d
import time:       652 |      11562 |                                   torch.distributed.device_mesh
import time:       306 |        306 |                                   torch.distributed.remote_device
import time:      4966 |      16833 |                                 torch.distributed
import time:       276 |        276 |                                                 torch.utils.data.datapipes._hook_iterator
import time:       336 |        611 |                                               torch.utils.data.datapipes._typing
import time:       293 |        293 |                                                 torch.utils._import_utils
import time:       361 |        361 |                                                   torch.utils.data.datapipes.utils
import time:       317 |        677 |                                                 torch.utils.data.datapipes.utils.common
import time:       378 |        378 |                                                 torch.utils.data.dataset
import time:       547 |       1894 |                                               torch.utils.data.datapipes.datapipe
import time:       217 |       2721 |                                             torch.utils.data.datapipes._decorator
import time:       197 |        197 |                                               torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:       232 |        429 |                                             torch.utils.data.datapipes.dataframe.structures
import time:       585 |       3735 |                                           torch.utils.data.datapipes.dataframe.dataframes
import time:       346 |        346 |                                           torch.utils.data.datapipes.dataframe.datapipes
import time:      1602 |       5681 |                                         torch.utils.data.datapipes.dataframe
import time:       259 |        259 |                                                 torch.utils.data._utils.collate
import time:       143 |        143 |                                                 torch.utils.data._utils.fetch
import time:       114 |        114 |                                                 torch.utils.data._utils.pin_memory
import time:       228 |        228 |                                                 torch.utils.data._utils.signal_handling
import time:      1201 |       1201 |                                                 torch.utils.data._utils.worker
import time:       331 |       2273 |                                               torch.utils.data._utils
import time:        10 |       2283 |                                             torch.utils.data._utils.collate
import time:       301 |       2583 |                                           torch.utils.data.datapipes.iter.callable
import time:       399 |        399 |                                             torch.utils.data.sampler
import time:       433 |        832 |                                           torch.utils.data.datapipes.iter.combinatorics
import time:       638 |        638 |                                           torch.utils.data.datapipes.iter.combining
import time:       401 |        401 |                                             torch.utils.data.datapipes.iter.utils
import time:       342 |        742 |                                           torch.utils.data.datapipes.iter.filelister
import time:       224 |        224 |                                           torch.utils.data.datapipes.iter.fileopener
